rate_date,base_currency,quote_currency,exchange_rate
2025-03-05,EUR,DKK,7.4589
2025-03-05,EUR,CZK,25.048
2025-03-05,SEK,NOK,1.07332577
2025-03-05,SEK,EUR,0.0908059
2025-03-05,SEK,PLN,0.37684449
2025-03-05,SEK,RON,0.45183201
2025-03-05,SEK,DKK,0.67731215
2025-03-05,SEK,CZK,2.27450624
2025-03-05,PLN,NOK,2.84819277
2025-03-05,PLN,EUR,0.24096386
2025-03-05,PLN,SEK,2.65361446
2025-03-05,PLN,RON,1.19898795
2025-03-05,PLN,DKK,1.7973253
2025-03-05,PLN,CZK,6.03566265
2025-03-05,RON,NOK,2.37549741
2025-03-05,RON,EUR,0.20097271
2025-03-05,RON,SEK,2.21321195
2025-03-05,RON,PLN,0.83403674
2025-03-05,RON,DKK,1.49903533
2025-03-05,RON,CZK,5.03396439
2025-03-05,DKK,NOK,1.58468407
2025-03-05,DKK,EUR,0.13406803
2025-03-05,DKK,SEK,1.47642414
2025-03-05,DKK,PLN,0.55638231
2025-03-05,DKK,RON,0.66709568
2025-03-05,DKK,CZK,3.35813592
2025-03-05,CZK,NOK,0.47189396
2025-03-05,CZK,EUR,0.03992335
2025-03-05,CZK,SEK,0.43965586
2025-03-05,CZK,PLN,0.16568189
2025-03-05,CZK,RON,0.19865059
2025-03-05,CZK,DKK,0.29778425
2025-03-06,NOK,EUR,0.08535336
2025-03-06,NOK,SEK,0.93564356
2025-03-06,NOK,PLN,0.356521
2025-03-06,NOK,RON,0.42466712
2025-03-06,NOK,DKK,0.63667634
2025-03-06,NOK,CZK,2.13784568
2025-03-06,EUR,NOK,11.716
2025-03-06,EUR,SEK,10.962
2025-03-06,EUR,PLN,4.177
2025-03-06,EUR,RON,4.9754
2025-03-06,EUR,DKK,7.4593
2025-03-06,EUR,CZK,25.047
2025-03-06,SEK,NOK,1.06878307
2025-03-06,SEK,EUR,0.09122423
2025-03-06,SEK,PLN,0.38104361
2025-03-06,SEK,RON,0.45387703
2025-03-06,SEK,DKK,0.68046889
2025-03-06,SEK,CZK,2.28489327
2025-03-06,PLN,NOK,2.80488389
2025-03-06,PLN,EUR,0.23940627
2025-03-06,PLN,SEK,2.62437156
2025-03-06,PLN,RON,1.19114197
2025-03-06,PLN,DKK,1.78580321
2025-03-06,PLN,CZK,5.99640891
2025-03-06,RON,NOK,2.35478554
2025-03-06,RON,EUR,0.20098887
2025-03-06,RON,SEK,2.20323994
2025-03-06,RON,PLN,0.83953049
2025-03-06,RON,DKK,1.49923624
2025-03-06,RON,CZK,5.03416811
2025-03-06,DKK,NOK,1.57065676
2025-03-06,DKK,EUR,0.13406084
2025-03-06,DKK,SEK,1.46957489
2025-03-06,DKK,PLN,0.55997212
2025-03-06,DKK,RON,0.66700629
2025-03-06,DKK,CZK,3.35782178
2025-03-06,CZK,NOK,0.46776061
2025-03-06,CZK,EUR,0.03992494
2025-03-06,CZK,SEK,0.4376572
2025-03-06,CZK,PLN,0.16676648
2025-03-06,CZK,RON,0.19864255
2025-03-06,CZK,DKK,0.29781211
2025-03-07,NOK,EUR,0.08504125
2025-03-07,NOK,SEK,0.93303002
2025-03-07,NOK,PLN,0.35537035
2025-03-07,NOK,RON,0.42313972
2025-03-07,NOK,DKK,0.63431414
2025-03-07,NOK,CZK,2.12739179
2025-03-07,EUR,NOK,11.759
2025-03-07,EUR,SEK,10.9715
2025-03-07,EUR,PLN,4.1788
2025-03-07,EUR,RON,4.9757
2025-03-07,EUR,DKK,7.4589
2025-03-07,EUR,CZK,25.016
2025-03-07,SEK,NOK,1.07177688
2025-03-07,SEK,EUR,0.09114524
2025-03-07,SEK,PLN,0.38087773
2025-03-07,SEK,RON,0.45351137
2025-03-07,SEK,DKK,0.67984323
2025-03-07,SEK,CZK,2.28008932
2025-03-07,PLN,NOK,2.81396573
2025-03-07,PLN,EUR,0.23930315
2025-03-07,PLN,SEK,2.6255145
2025-03-07,PLN,RON,1.19070068
2025-03-07,PLN,DKK,1.78493826
2025-03-07,PLN,CZK,5.98640758
2025-03-07,RON,NOK,2.36328557
2025-03-07,RON,EUR,0.20097675
2025-03-07,RON,SEK,2.20501638
2025-03-07,RON,PLN,0.83984163
2025-03-07,RON,DKK,1.49906546
2025-03-07,RON,CZK,5.0276343
2025-03-07,DKK,NOK,1.57650592
2025-03-07,DKK,EUR,0.13406803
2025-03-07,DKK,SEK,1.47092735
2025-03-07,DKK,PLN,0.56024347
2025-03-07,DKK,RON,0.66708228
2025-03-07,DKK,CZK,3.35384574
2025-03-07,CZK,NOK,0.47005916
2025-03-07,CZK,EUR,0.03997442
2025-03-07,CZK,SEK,0.43857931
2025-03-07,CZK,PLN,0.16704509
2025-03-07,CZK,RON,0.1989007
2025-03-07,CZK,DKK,0.29816517
2025-03-10,NOK,EUR,0.08568613
2025-03-10,NOK,SEK,0.93993402
2025-03-10,NOK,PLN,0.35953901
2025-03-10,NOK,RON,0.42641703
2025-03-10,NOK,DKK,0.63908144
2025-03-10,NOK,CZK,2.13846879
2025-03-10,EUR,NOK,11.6705
2025-03-10,EUR,SEK,10.9695
2025-03-10,EUR,PLN,4.196
2025-03-10,EUR,RON,4.9765
2025-03-10,EUR,DKK,7.4584
2025-03-10,EUR,CZK,24.957
2025-03-10,SEK,NOK,1.06390446
2025-03-10,SEK,EUR,0.09116186
2025-03-10,SEK,PLN,0.38251516
2025-03-10,SEK,RON,0.45366699
2025-03-10,SEK,DKK,0.6799216
2025-03-10,SEK,CZK,2.27512649
2025-03-10,PLN,NOK,2.78133937
2025-03-10,PLN,EUR,0.23832221
2025-03-10,PLN,SEK,2.6142755
2025-03-10,PLN,RON,1.18601049
2025-03-10,PLN,DKK,1.77750238
2025-03-10,PLN,CZK,5.94780744
2025-03-10,RON,NOK,2.34512207
2025-03-10,RON,EUR,0.20094444
2025-03-10,RON,SEK,2.20426002
2025-03-10,RON,PLN,0.84316287
2025-03-10,RON,DKK,1.498724
2025-03-10,RON,CZK,5.01497036
2025-03-10,DKK,NOK,1.56474579
2025-03-10,DKK,EUR,0.13407701
2025-03-10,DKK,SEK,1.4707578
2025-03-10,DKK,PLN,0.56258715
2025-03-10,DKK,RON,0.66723426
2025-03-10,DKK,CZK,3.34616003
2025-03-10,CZK,NOK,0.46762431
2025-03-10,CZK,EUR,0.04006892
2025-03-10,CZK,SEK,0.439536
2025-03-10,CZK,PLN,0.16812918
2025-03-10,CZK,RON,0.19940297
2025-03-10,CZK,DKK,0.29885002
2025-03-11,NOK,EUR,0.08595496
2025-03-11,NOK,SEK,0.94391439
2025-03-11,NOK,PLN,0.36103662
2025-03-11,NOK,RON,0.42780643
2025-03-11,NOK,DKK,0.64111226
2025-03-11,NOK,CZK,2.14569366
2025-03-11,EUR,NOK,11.634
2025-03-11,EUR,SEK,10.9815
2025-03-11,EUR,PLN,4.2003
2025-03-11,EUR,RON,4.9771
2025-03-11,EUR,DKK,7.4587
2025-03-11,EUR,CZK,24.963
2025-03-11,SEK,NOK,1.05941811
2025-03-11,SEK,EUR,0.09106224
2025-03-11,SEK,PLN,0.38248873
2025-03-11,SEK,RON,0.45322588
2025-03-11,SEK,DKK,0.67920594
2025-03-11,SEK,CZK,2.27318672
2025-03-11,PLN,NOK,2.76980216
2025-03-11,PLN,EUR,0.23807823
2025-03-11,PLN,SEK,2.61445611
2025-03-11,PLN,RON,1.18493917
2025-03-11,PLN,DKK,1.77575411
2025-03-11,PLN,CZK,5.94314692
2025-03-11,RON,NOK,2.33750578
2025-03-11,RON,EUR,0.20092021
2025-03-11,RON,SEK,2.20640534
2025-03-11,RON,PLN,0.84392518
2025-03-11,RON,DKK,1.4986036
2025-03-11,RON,CZK,5.01557132
2025-03-11,DKK,NOK,1.55978924
2025-03-11,DKK,EUR,0.13407162
2025-03-11,DKK,SEK,1.47230751
2025-03-11,DKK,PLN,0.56314103
2025-03-11,DKK,RON,0.66728787
2025-03-11,DKK,CZK,3.34682988
2025-03-11,CZK,NOK,0.46604975
2025-03-11,CZK,EUR,0.04005929
2025-03-11,CZK,SEK,0.43991107
2025-03-11,CZK,PLN,0.16826103
2025-03-11,CZK,RON,0.19937908
2025-03-11,CZK,DKK,0.29879021
2025-03-12,NOK,EUR,0.08614377
2025-03-12,NOK,SEK,0.94555713
2025-03-12,NOK,PLN,0.3614162
2025-03-12,NOK,RON,0.42877202
2025-03-12,NOK,DKK,0.64255502
2025-03-12,NOK,CZK,2.15471422
2025-03-12,EUR,NOK,11.6085
2025-03-12,EUR,SEK,10.9765
2025-03-12,EUR,PLN,4.1955
2025-03-12,EUR,RON,4.9774
2025-03-12,EUR,DKK,7.4591
2025-03-12,EUR,CZK,25.013
2025-03-12,SEK,NOK,1.05757755
2025-03-12,SEK,EUR,0.09110372
2025-03-12,SEK,PLN,0.38222566
2025-03-12,SEK,RON,0.45345966
2025-03-12,SEK,DKK,0.67955177
2025-03-12,SEK,CZK,2.27877739
2025-03-12,PLN,NOK,2.7668931
2025-03-12,PLN,EUR,0.23835061
2025-03-12,PLN,SEK,2.61625551
2025-03-12,PLN,RON,1.18636634
2025-03-12,PLN,DKK,1.77788106
2025-03-12,PLN,CZK,5.9618639
2025-03-12,RON,NOK,2.33224173
2025-03-12,RON,EUR,0.2009081
2025-03-12,RON,SEK,2.20526781
2025-03-12,RON,PLN,0.84290995
2025-03-12,RON,DKK,1.49859364
2025-03-12,RON,CZK,5.02531442
2025-03-12,DKK,NOK,1.55628695
2025-03-12,DKK,EUR,0.13406443
2025-03-12,DKK,SEK,1.47155823
2025-03-12,DKK,PLN,0.56246732
2025-03-12,DKK,RON,0.6672923
2025-03-12,DKK,CZK,3.35335362
2025-03-12,CZK,NOK,0.46409867
2025-03-12,CZK,EUR,0.03997921
2025-03-12,CZK,SEK,0.43883181
2025-03-12,CZK,PLN,0.16773278
2025-03-12,CZK,RON,0.19899252
2025-03-12,CZK,DKK,0.29820893
2025-03-13,NOK,EUR,0.08622548
2025-03-13,NOK,SEK,0.95451606
2025-03-13,NOK,PLN,0.36184523
2025-03-13,NOK,RON,0.42918732
2025-03-13,NOK,DKK,0.64328519
2025-03-13,NOK,CZK,2.16365596
2025-03-13,EUR,NOK,11.5975
2025-03-13,EUR,SEK,11.07
2025-03-13,EUR,PLN,4.1965
2025-03-13,EUR,RON,4.9775
2025-03-13,EUR,DKK,7.4605
2025-03-13,EUR,CZK,25.093
2025-03-13,SEK,NOK,1.04765131
2025-03-13,SEK,EUR,0.09033424
2025-03-13,SEK,PLN,0.37908762
2025-03-13,SEK,RON,0.44963866
2025-03-13,SEK,DKK,0.67393857
2025-03-13,SEK,CZK,2.266757
2025-03-13,PLN,NOK,2.76361253
2025-03-13,PLN,EUR,0.23829382
2025-03-13,PLN,SEK,2.63791255
2025-03-13,PLN,RON,1.18610747
2025-03-13,PLN,DKK,1.77779102
2025-03-13,PLN,CZK,5.97950673
2025-03-13,RON,NOK,2.32998493
2025-03-13,RON,EUR,0.20090407
2025-03-13,RON,SEK,2.22400804
2025-03-13,RON,PLN,0.84309392
2025-03-13,RON,DKK,1.4988448
2025-03-13,RON,CZK,5.04128579
2025-03-13,DKK,NOK,1.55452047
2025-03-13,DKK,EUR,0.13403927
2025-03-13,DKK,SEK,1.48381476
2025-03-13,DKK,PLN,0.56249581
2025-03-13,DKK,RON,0.66718048
2025-03-13,DKK,CZK,3.36344749
2025-03-13,CZK,NOK,0.46218069
2025-03-13,CZK,EUR,0.03985175
2025-03-13,CZK,SEK,0.44115889
2025-03-13,CZK,PLN,0.16723788
2025-03-13,CZK,RON,0.19836209
2025-03-13,CZK,DKK,0.29731399
2025-03-14,NOK,EUR,0.08605852
2025-03-14,NOK,SEK,0.95127367
2025-03-14,NOK,PLN,0.35906196
2025-03-14,NOK,RON,0.42829604
2025-03-14,NOK,DKK,0.64200516
2025-03-14,NOK,CZK,2.15266781
2025-03-14,EUR,NOK,11.62
2025-03-14,EUR,SEK,11.0538
2025-03-14,EUR,PLN,4.1723
2025-03-14,EUR,RON,4.9768
2025-03-14,EUR,DKK,7.4601
2025-03-14,EUR,CZK,25.014
2025-03-14,SEK,NOK,1.0512222
2025-03-14,SEK,EUR,0.09046663
2025-03-14,SEK,PLN,0.37745391
2025-03-14,SEK,RON,0.45023431
2025-03-14,SEK,DKK,0.67489008
2025-03-14,SEK,CZK,2.2629322
2025-03-14,PLN,NOK,2.78503463
2025-03-14,PLN,EUR,0.23967596
2025-03-14,PLN,SEK,2.64933011
2025-03-14,PLN,RON,1.19281931
2025-03-14,PLN,DKK,1.78800662
2025-03-14,PLN,CZK,5.99525442
2025-03-14,RON,NOK,2.33483363
2025-03-14,RON,EUR,0.20093233
2025-03-14,RON,SEK,2.22106575
2025-03-14,RON,PLN,0.83834994
2025-03-14,RON,DKK,1.49897525
2025-03-14,RON,CZK,5.0261212
2025-03-14,DKK,NOK,1.55761987
2025-03-14,DKK,EUR,0.13404646
2025-03-14,DKK,SEK,1.48172277
2025-03-14,DKK,PLN,0.55928205
2025-03-14,DKK,RON,0.66712242
2025-03-14,DKK,CZK,3.35303816
2025-03-14,CZK,NOK,0.46453986
2025-03-14,CZK,EUR,0.03997761
2025-03-14,CZK,SEK,0.44190453
2025-03-14,CZK,PLN,0.16679859
2025-03-14,CZK,RON,0.19896058
2025-03-14,CZK,DKK,0.29823699
2025-03-17,NOK,EUR,0.08674306
2025-03-17,NOK,SEK,0.95612536
2025-03-17,NOK,PLN,0.36313247
2025-03-17,NOK,RON,0.43176357
2025-03-17,NOK,DKK,0.64716394
2025-03-17,NOK,CZK,2.17161247
2025-03-17,EUR,NOK,11.5283
2025-03-17,EUR,SEK,11.0225
2025-03-17,EUR,PLN,4.1863
2025-03-17,EUR,RON,4.9775
2025-03-17,EUR,DKK,7.4607
2025-03-17,EUR,CZK,25.035
2025-03-17,SEK,NOK,1.04588796
2025-03-17,SEK,EUR,0.09072352
2025-03-17,SEK,PLN,0.37979587
2025-03-17,SEK,RON,0.45157632
2025-03-17,SEK,DKK,0.67686097
2025-03-17,SEK,CZK,2.27126333
2025-03-17,PLN,NOK,2.75381602
2025-03-17,PLN,EUR,0.23887442
2025-03-17,PLN,SEK,2.63299334
2025-03-17,PLN,RON,1.18899744
2025-03-17,PLN,DKK,1.78217041
2025-03-17,PLN,CZK,5.9802212
2025-03-17,RON,NOK,2.31608237
2025-03-17,RON,EUR,0.20090407
2025-03-17,RON,SEK,2.21446509
2025-03-17,RON,PLN,0.8410447
2025-03-17,RON,DKK,1.49888498
2025-03-17,RON,CZK,5.02963335
2025-03-17,DKK,NOK,1.54520353
2025-03-17,DKK,EUR,0.13403568
2025-03-17,DKK,SEK,1.47740829
2025-03-17,DKK,PLN,0.56111357
2025-03-17,DKK,RON,0.6671626
2025-03-17,DKK,CZK,3.35558326
2025-03-17,CZK,NOK,0.46048732
2025-03-17,CZK,EUR,0.03994408
2025-03-17,CZK,SEK,0.4402836
2025-03-17,CZK,PLN,0.16721789
2025-03-17,CZK,RON,0.19882165
2025-03-17,CZK,DKK,0.29801078
2025-03-18,NOK,EUR,0.08674532
2025-03-18,NOK,SEK,0.95393824
2025-03-18,NOK,PLN,0.36216169
2025-03-18,NOK,RON,0.43176613
2025-03-18,NOK,DKK,0.64710271
2025-03-18,NOK,CZK,2.17192922
2025-03-18,EUR,NOK,11.528
2025-03-18,EUR,SEK,10.997
2025-03-18,EUR,PLN,4.175
2025-03-18,EUR,RON,4.9774
2025-03-18,EUR,DKK,7.4598
2025-03-18,EUR,CZK,25.038
2025-03-18,SEK,NOK,1.0482859
2025-03-18,SEK,EUR,0.09093389
2025-03-18,SEK,PLN,0.379649
2025-03-18,SEK,RON,0.45261435
2025-03-18,SEK,DKK,0.67834864
2025-03-18,SEK,CZK,2.27680276
2025-03-18,PLN,NOK,2.7611976
2025-03-18,PLN,EUR,0.23952096
2025-03-18,PLN,SEK,2.63401198
2025-03-18,PLN,RON,1.19219162
2025-03-18,PLN,DKK,1.78677844
2025-03-18,PLN,CZK,5.99712575
2025-03-18,RON,NOK,2.31606863
2025-03-18,RON,EUR,0.2009081
2025-03-18,RON,SEK,2.20938643
2025-03-18,RON,PLN,0.83879134
2025-03-18,RON,DKK,1.49873428
2025-03-18,RON,CZK,5.03033712
2025-03-18,DKK,NOK,1.54534974
2025-03-18,DKK,EUR,0.13405185
2025-03-18,DKK,SEK,1.47416821
2025-03-18,DKK,PLN,0.55966648
2025-03-18,DKK,RON,0.66722968
2025-03-18,DKK,CZK,3.35639025
2025-03-18,CZK,NOK,0.46042016
2025-03-18,CZK,EUR,0.03993929
